idx,metrics,AD_type,y_pred,y_true
221,4.5461926,OAD,-0.93795437,81.0
222,4.0549064,OAD,10.686496,58.0
223,5.0012465,OAD,2.7236722,61.0
224,7.1333904,OAD,10.1098795,78.0
225,7.0732636,OAD,4.6035085,79.0
226,4.3490834,OAD,12.768453,80.0
227,4.538464,OAD,7.093956,82.0
228,3.7340255,OAD,15.088846,86.0
229,4.6029615,OAD,9.315828,90.0
230,4.572646,OAD,66.26852,30.0
231,2.446771,OAD,55.043064,27.0
232,5.7103353,OAD,40.510216,55.0
233,3.2916439,OAD,51.719463,93.0
234,7.8189564,OAD,60.66713,18.0
235,5.5005927,OAD,53.078735,24.0
236,1.3997178,IAD,50.397686,26.0
237,1.6902649,IAD,53.034073,85.0
238,5.2934475,OAD,52.399574,49.0
239,4.1060314,OAD,48.48627,80.0
240,4.148004,OAD,53.312798,40.0
241,3.9009418,OAD,46.17056,90.0
242,6.333396,OAD,45.27213,20.0
243,7.9357114,OAD,45.395042,27.0
244,3.2916439,OAD,51.719463,93.0
245,6.159815,OAD,43.9082,0.0
246,5.9849396,OAD,86.28884,99.0
247,5.739817,OAD,69.0106,82.0
248,4.698607,OAD,83.77843,84.0
249,6.444464,OAD,71.50721,87.0
250,4.885816,OAD,71.37758,96.0
251,5.713627,OAD,71.90299,85.0
252,6.7958126,OAD,78.20115,96.0
253,5.20674,OAD,81.40032,98.0
254,4.3740363,OAD,72.18277,94.0
255,5.3131776,OAD,56.84138,72.0
256,3.2792,OAD,78.65118,99.0
257,3.8041394,OAD,80.40693,98.0
258,3.9606855,OAD,80.929184,98.0
259,1.9906006,IAD,74.50782,92.0
260,5.0240545,OAD,79.71263,97.0
261,3.3649235,OAD,74.268936,86.0
262,4.495972,OAD,75.951294,84.0
263,4.196144,OAD,77.54512,98.0
264,5.613525,OAD,75.51757,88.0
265,5.142091,OAD,82.06924,98.0
266,3.6361856,OAD,80.857414,94.0
267,5.040739,OAD,84.21535,98.0
268,1.8639001,IAD,82.20907,90.0
269,4.6148477,OAD,74.65954,93.0
270,4.0350385,OAD,71.31442,94.0
271,3.5397897,OAD,77.29043,71.2
