idx,metrics,AD_type,y_pred,y_true
282,4.306574,OAD,77.30939,85.0
283,2.9388423,OAD,79.18405,87.0
284,4.360307,OAD,78.85803,99.0
285,3.4496274,OAD,82.2384,98.0
286,4.0401897,OAD,73.33942,94.0
287,1.4079546,OAD,64.61308,92.0
288,5.462591,OAD,69.13879,88.0
289,3.7905533,OAD,70.80312,92.0
290,5.4984555,OAD,79.25654,94.0
291,4.0563445,OAD,82.33782,99.0
292,4.9753814,OAD,66.33335,80.0
293,4.4112916,OAD,69.52153,98.0
294,4.4408402,OAD,76.19001,82.0
295,1.4773989,OAD,72.12306,97.0
296,5.67795,OAD,74.70068,97.0
297,3.6032462,OAD,76.520386,99.0
298,4.6105566,OAD,65.288734,87.0
299,3.9597523,OAD,71.749054,99.0
300,3.771447,OAD,69.04911,85.0
301,1.527164,OAD,76.82071,91.0
302,1.7961466,OAD,65.3702,85.0
303,4.745852,OAD,67.74887,97.0
304,3.150088,OAD,66.98364,82.0
305,4.101609,OAD,71.173195,49.24
664,7.3148937,OAD,40.862545,44.0
665,10.269225,OAD,27.452822,84.0
666,8.569064,OAD,29.660437,87.0
667,9.312079,OAD,28.42646,88.0
668,8.798852,OAD,43.14547,93.0
669,8.784725,OAD,21.86848,82.0
670,9.827779,OAD,31.382511,89.0
671,12.295875,OAD,27.618387,95.0
672,11.117457,OAD,30.240107,96.0
673,9.914028,OAD,27.287209,90.0
674,9.038987,OAD,32.660908,93.0
675,9.99582,OAD,32.00434,75.0
676,12.227832,OAD,24.967081,53.0
677,8.036735,OAD,40.760937,70.0
678,10.139675,OAD,30.22201,89.0
679,8.339907,OAD,36.279713,0.0
680,8.748866,OAD,32.69929,0.0
681,9.357713,OAD,49.780933,0.0
682,11.717228,OAD,30.813845,0.0
683,10.435252,OAD,30.688505,0.0
684,11.006826,OAD,35.48961,87.0
685,9.512431,OAD,31.128304,80.0
686,11.777884,OAD,40.431976,70.0
687,9.547074,OAD,29.46186,30.0
688,8.702,OAD,37.23063,84.0
689,8.24138,OAD,44.004723,91.0
690,9.941583,OAD,21.762629,94.0
691,3.2398195,OAD,55.558525,96.0
692,7.0952044,OAD,34.64386,87.0
693,7.167741,OAD,43.242226,95.0
694,6.9238625,OAD,44.546234,93.0
695,6.79582,OAD,53.92009,97.0
696,7.1220436,OAD,43.09976,95.0
697,5.8500237,OAD,36.73703,96.0
698,3.8349428,OAD,57.523308,96.0
699,7.4276333,OAD,40.216167,89.0
700,5.33661,OAD,60.723965,96.0
701,7.4425073,OAD,32.626377,70.0
702,6.525734,OAD,25.206223,94.0
703,4.321159,OAD,32.36675,95.0
704,4.321159,OAD,32.36675,91.0
705,8.348404,OAD,34.629456,85.0
706,8.764932,OAD,41.59615,85.0
707,5.093153,OAD,57.089443,94.0
708,6.479971,OAD,21.679743,78.0
709,6.863494,OAD,32.5728,80.0
710,4.6128426,OAD,59.431755,90.0
711,4.9163513,OAD,21.691856,61.0
712,5.702292,OAD,56.74994,82.0
713,5.7154007,OAD,17.666008,46.0
714,8.746748,OAD,21.059984,92.0
715,8.176636,OAD,22.513456,75.0
716,6.6950254,OAD,45.811028,94.0
717,8.208588,OAD,43.04417,86.0
718,7.766607,OAD,45.92045,61.0
719,6.0988784,OAD,35.552315,40.0
