idx,metrics,AD_type,judge_value,y_pred,y_true
289,295.77337794110366,OAD,131.14570327294913,90.55149,92.0
290,389.61545735017927,OAD,133.94718660719155,93.15038,94.0
291,352.70515272388707,OAD,133.94718660719155,99.5422,99.0
292,267.90811242842364,OAD,128.77570594718208,78.748,80.0
293,251.16218724665123,OAD,131.14570327294913,89.201904,98.0
294,336.11990782093125,OAD,128.77570594718208,95.2301,82.0
295,294.06728911472493,OAD,131.14570327294913,90.97439,97.0
296,238.37502303840287,OAD,133.94718660719155,93.392586,97.0
297,343.6706631580033,OAD,133.94718660719155,87.89898,99.0
298,261.206350540374,OAD,133.94718660719155,87.16313,87.0
299,322.6009213705968,OAD,131.14570327294913,87.20417,99.0
300,336.4807345198514,OAD,128.77570594718208,89.35153,85.0
301,286.36587073288763,OAD,135.15201671875872,100.83517,91.0
302,271.7934404461379,OAD,135.15201671875872,89.71729,85.0
303,284.949099616831,OAD,128.77570594718208,93.935394,97.0
304,323.92752675795543,OAD,128.77570594718208,85.23231,82.0
305,375.98356644133025,OAD,131.14570327294913,83.00816,49.24
306,236.55452173797852,OAD,128.77570594718208,81.467384,82.0
307,277.8674003450937,OAD,128.77570594718208,85.909645,91.0
308,291.50716303278256,OAD,133.94718660719155,81.446396,80.0
309,159.00354935181016,OAD,131.14570327294913,66.2934,64.0
310,156.25495456787868,OAD,128.77570594718208,68.033905,66.0
311,142.89282432499266,OAD,128.77570594718208,80.08825,85.0
312,196.37124503972353,OAD,131.14570327294913,65.02341,64.0
313,181.11896864445907,OAD,132.93225655192543,81.98275,84.0
314,172.49043454898202,OAD,131.14570327294913,82.47067,81.0
315,168.5314359885829,OAD,133.94718660719155,74.60199,75.0
316,281.6888540426389,OAD,128.77570594718208,58.295776,53.0
317,270.84522100608604,OAD,128.77570594718208,77.20593,68.0
318,276.3369581268468,OAD,133.94718660719155,68.02363,81.0
319,231.11557172485251,OAD,131.14570327294913,81.54002,90.0
320,291.7171701244052,OAD,135.15201671875872,85.791,96.0
321,286.42759433215997,OAD,131.14570327294913,82.63458,88.0
322,337.4687988801835,OAD,133.94718660719155,82.99602,91.0
323,298.9267647081052,OAD,128.77570594718208,90.1997,96.0
324,315.0089379394968,OAD,131.14570327294913,83.38499,84.0
325,329.71935462222393,OAD,131.14570327294913,78.93757,89.0
326,344.2577754024166,OAD,131.14570327294913,93.56787,93.0
327,275.23305678357497,OAD,135.15201671875872,79.32933,98.0
328,205.66146246974526,OAD,131.14570327294913,70.32155,77.0
329,208.98435698401545,OAD,128.77570594718208,67.35263,83.0
330,216.37691534547133,OAD,131.14570327294913,60.566013,100.0
331,288.3233247112639,OAD,131.14570327294913,81.52741,84.0
332,225.92285972022464,OAD,131.14570327294913,79.23892,99.0
333,260.9017742944629,OAD,133.94718660719155,83.854515,94.0
334,237.271333523418,OAD,128.77570594718208,82.11775,89.0
335,270.49697399310054,OAD,135.15201671875872,89.96348,89.0
336,286.8756318766153,OAD,131.14570327294913,69.7823,86.0
337,283.5349961065223,OAD,135.15201671875872,85.75028,81.0
338,222.48488899000142,OAD,128.77570594718208,73.33083,21.0
339,326.86383442037663,OAD,128.77570594718208,41.475063,0.0
340,359.49156229826684,OAD,132.93225655192543,19.672382,5.0
341,207.5218100586757,OAD,135.15201671875872,91.89321,97.0
342,291.5442583142152,OAD,132.93225655192543,88.61875,97.0
343,264.4500723846386,OAD,132.93225655192543,92.64818,94.0
344,300.13349819030896,OAD,128.77570594718208,76.86857,81.0
345,608.8534354247253,OAD,135.15201671875872,73.396416,59.0
346,605.326981052849,OAD,133.94718660719155,58.44656,77.0
347,155.61730450705954,OAD,132.93225655192543,59.685688,66.0
348,188.1493026201856,OAD,128.77570594718208,84.34857,82.0
349,241.19328522285437,OAD,132.93225655192543,91.827774,81.0
350,211.24935828555707,OAD,133.94718660719155,72.13505,90.0
351,218.88911072419114,OAD,133.94718660719155,75.024925,90.0
352,231.04686665550346,OAD,128.77570594718208,87.483215,97.0
353,221.99915668880917,OAD,131.14570327294913,83.17963,82.0
