smiles,E_HOMO,VIP,VEA,Mulliken_Chi,Chem_potential,Elec_hardness,Elec_softness,Electro_idx,Nucleo_idx,min_ESP,max_ESP,aver_pESP,aver_nESP,aver_oESP,vari_p_ESP,vari_n_ESP,vari_o_ESP,char_balance,MPI,area_pSurface,area_nSurface,aver_ALIE,vari_ALIE,aver_LEAE,vari_LEAE,aver_LEA,vari_LEA,Molecular_ES_radius_min,Molecular_ES_radius_max,Molecular_volumn,Molecular_sphericity,Molecular_all_surface_area,Molecular_length,Molecular_widht,Molecular_height,HOMO_energy,LUMO_energy,HOMO_LUMO_energy_gap,HOMO_ODI,LUMO_ODI
NC(=O)C1CC1,-0.251543,0.362578,-0.106745,0.127916,-0.127916,0.469323,2.130728,0.017432,0.083655,-0.07014,0.066567,0.02122891,-0.02289229,0.0005687,0.00029877,0.00052951,0.00082828,0.23059949,0.59886284,243.34198,214.2917,0.43080984,0.00198368,-0.7034198,0.048955,0.0,0.0,3.756616,8.238229,777.95459,0.8936,457.74349,7.577,5.752,4.954,-0.251543,0.028489,0.280032,33.94,20.08
NC(=O)C1CCCC1,-0.243222,0.35741,-0.091251,0.133079,-0.133079,0.448662,2.22885,0.019737,0.091976,-0.072226,0.064382,0.01529938,-0.03537999,0.00335892,0.00016976,0.00061846,0.00078822,0.16898721,0.54505849,442.62821,136.43093,0.42704038,0.00164702,-0.713288,0.047023,0.0,0.0,3.622292,9.15468,1061.37447,0.8687,579.21352,8.22,6.575,5.674,-0.243222,0.029998,0.27322,30.27,12.68
NC(=O)Cc1cccs1,-0.234229,0.306209,-0.046009,0.1301,-0.1301,0.352218,2.839152,0.024028,0.100969,-0.069251,0.054457,0.01749013,-0.02275192,0.00311936,0.00014538,0.00052385,0.00066924,0.1700467,0.52706162,395.41407,219.64146,0.41746284,0.00273354,-0.7328225,0.037598,-0.0024458,1.5e-05,3.184046,9.633992,1139.81485,0.8578,615.18607,9.66,6.521,6.031,-0.234229,-0.029373,0.204857,15.51,18.73
NC(=O)Cc1ccccc1,-0.240037,0.313218,-0.049775,0.131722,-0.131722,0.362992,2.754879,0.023899,0.095161,-0.070988,0.053437,0.01691008,-0.024282,0.00321533,0.00012192,0.00055801,0.00067993,0.14716119,0.52683843,430.17932,214.24627,0.41962583,0.00237806,-0.7411374,0.037672,-0.0039585,2.6e-05,3.155611,10.220304,1204.12021,0.8492,644.57288,10.124,6.716,6.159,-0.240037,-0.022673,0.217364,22.25,19.92
CC(N)=O,-0.247904,0.37308,-0.109277,0.131901,-0.131901,0.482357,2.073154,0.018034,0.087294,-0.071956,0.067515,0.02318079,-0.0375098,0.00192555,0.00027566,0.00059514,0.0008708,0.2163494,0.7673376,230.40109,124.18379,0.43610524,0.00258826,-0.7197246,0.059936,0.0,0.0,3.275133,6.664945,549.29972,0.9145,354.677,6.252,5.889,4.164,-0.247904,0.031661,0.279565,37.93,21.2
NC(=O)C(F)(F)F,-0.286161,0.392316,-0.087104,0.152606,-0.152606,0.47942,2.085853,0.024288,0.049037,-0.057646,0.076497,0.03236359,-0.021422,0.00239394,0.00050345,0.00025652,0.00075998,0.22360628,0.71475783,176.78566,222.46466,0.50683608,0.00398321,-0.9509795,0.067533,-0.00148,1.2e-05,3.206063,6.918814,634.74895,0.8944,399.3705,6.366,5.88,5.105,-0.286161,-0.014749,0.271413,37.86,25.44
CCC(N)=O,-0.249524,0.370154,-0.10829,0.130932,-0.130932,0.478445,2.090106,0.017916,0.085674,-0.070274,0.066358,0.02030661,-0.0273772,0.00125575,0.00029008,0.00058954,0.00087962,0.22102423,0.62943972,257.37328,171.2426,0.43108746,0.00215519,-0.700848,0.05357,0.0,0.0,3.403517,7.915211,703.67914,0.8924,428.73302,7.874,5.645,4.168,-0.249524,0.030359,0.279882,33.27,20.39
O=C1CCCN1,-0.243785,0.338325,-0.102798,0.117763,-0.117763,0.441123,2.266939,0.015719,0.091413,-0.071924,0.05507,0.01953642,-0.03909329,0.0036047,8.866e-05,0.0005728,0.00066146,0.11606753,0.67622181,327.19153,122.08357,0.43472706,0.00167696,-0.7154877,0.052219,0.0,0.0,3.411096,8.103931,759.51595,0.8958,449.39365,7.063,6.476,4.87,-0.243785,0.031108,0.274893,32.35,14.46
CC1(C)CNC(=O)C1,-0.243124,0.333633,-0.094654,0.119489,-0.119489,0.428287,2.334883,0.016668,0.092074,-0.072147,0.054559,0.0160774,-0.03936982,0.00433058,8.099e-05,0.00057827,0.00065925,0.10775449,0.57176649,452.48696,121.63002,0.42666162,0.00108541,-0.6983017,0.04836,0.0,0.0,4.147435,9.294377,1064.40673,0.8779,574.27386,8.345,6.424,6.488,-0.243124,0.031408,0.274532,31.04,13.22
O=C1NCCO1,-0.268015,0.362463,-0.103445,0.129509,-0.129509,0.465908,2.146347,0.018,0.067183,-0.072266,0.065086,0.02974273,-0.0397333,0.00378303,0.00014932,0.00046469,0.00061401,0.18405072,0.9109201,259.10643,154.57008,0.45124591,0.00245898,-0.7566874,0.058402,0.0,0.0,3.300339,8.189253,676.11313,0.9003,413.78891,6.863,5.853,4.768,-0.268015,0.039197,0.307213,35.54,15.94
